id	target	file	killed	n_failed	failing_tests
M01-sha256d-single	euvm	crates/bloch-euvm/src/lib.rs	yes	3	modules::tests::kyc_membership_against_root,tests::hashlock_validator,tests::p2pkh_validator
M02-gas-free	euvm	crates/bloch-euvm/src/lib.rs	yes	12	flat_gas_makes_hashing_cost_independent_of_operand_length,gas_is_decoupled_from_hashed_bytes_cpu_dos,gas_scales_with_operand_length_metered_work,harness::tests::over_gas_ceiling_rejected_deterministically,harness::tests::per_tx_gas_ceiling_rejects_single_tx_deterministically,harness::tests::zero_gas_ceilings_no_panic,minting::tests::mint_policy_gas_exhaustion_is_fail_closed,modules::tests::gas_cost_is_deterministic_and_matches_formula_for_each_module
M03-expectdepth-relax	euvm	crates/bloch-euvm/src/lib.rs	yes	1	transfer_policy_freeze_is_bypassed_by_padding_the_redeemer
M04-verify-noop	euvm	crates/bloch-euvm/src/lib.rs	yes	9	modules::tests::custody_hybrid_pq_2_of_2,modules::tests::property_supply_cap_boundary_exact,modules::tests::supply_cap_cannot_be_bypassed_by_a_redeemer_supplied_amount,modules::tests::supply_mint_within_cap_and_signed,modules::tests::vesting_height_gate,supply_module_cap_is_enforced_over_total_supply,tests::continuation_counter_contract,tests::hybrid_ecdsa_and_pq_validator
M05-verifysig-accept	euvm	crates/bloch-euvm/src/lib.rs	yes	12	minting::tests::authorized_minter_wrong_sig_rejected,modules::tests::custody_hybrid_pq_2_of_2,modules::tests::governance_2_of_3,modules::tests::governance_3_of_5_shape,modules::tests::property_governance_result_matches_signature_count_over_all_subsets,modules::tests::supply_mint_within_cap_and_signed,modules::tests::transfer_policy_freeze_gate,modules::tests::vesting_height_gate
M06-spend-hash-unchecked	euvm	crates/bloch-euvm/src/lib.rs	yes	2	harness::tests::validator_hash_mismatch_fails_closed_no_panic,tests::spend_binds_program_to_output
M07-conservation-allows-loss	euvm	crates/bloch-euvm/src/lib.rs	yes	4	conservation_scan_is_unmetered_runs_with_zero_gas,harness::tests::active_path_fails_closed_on_bad_tx,harness::tests::non_blch_asset_conservation_enforced,tests::tx_value_not_conserved_rejected
M08-fee-burn-swap	euvm	crates/bloch-euvm/src/lib.rs	yes	2	harness::tests::fee_burn_splits_correctly,tests::fee_burn_split
M09-lt-off-by-one	euvm	crates/bloch-euvm/src/lib.rs	yes	16	batcher::tests::all_orders_invalid_batch_leaves_pool_untouched_and_conserves,batcher::tests::bug_reserve_overflow_silently_saturates_instead_of_failing_closed,batcher::tests::empty_batch_is_a_pure_noop,batcher::tests::zero_gas_budget_refunds_every_order_no_panic,minting::tests::at_cap_mint_allowed,minting::tests::height_gate_blocks_before_and_allows_after,modules::tests::gas_cost_is_deterministic_and_matches_formula_for_each_module,modules::tests::governance_2_of_3
M13-shake-truncated-read	euvm	crates/bloch-euvm/src/lib.rs	NO-SURVIVED	0	
M14-eq-always-true	euvm	crates/bloch-euvm/src/lib.rs	yes	6	modules::tests::kyc_membership_against_root,state::tests::root_fits_in_val_and_validator_asserts_it,tests::amm_style_continuation_tx,tests::continuation_counter_contract,tests::hashlock_validator,tests::p2pkh_validator
M15-gas-hash-flat	euvm	crates/bloch-euvm/src/lib.rs	yes	3	flat_gas_makes_hashing_cost_independent_of_operand_length,gas_scales_with_operand_length_metered_work,modules::tests::gas_cost_is_deterministic_and_matches_formula_for_each_module
M10-minting-negative-supply	euvm	crates/bloch-euvm/src/minting.rs	yes	2	burn_cannot_drive_supply_negative,minting::tests::burn_below_zero_supply_rejected
M11-stateproof-sibling-swap	euvm	crates/bloch-euvm/src/state.rs	yes	17	allow_gate_kyc_bypass_by_relaying_a_members_proof,crypto_core_membership_forgery_still_fails,deny_gate_is_bypassable_with_a_made_up_identity,state::tests::allowlist_gate,state::tests::denylist_gate,state::tests::empty_key_and_empty_value_round_trip_without_panicking,state::tests::forged_membership_of_absent_key_fails,state::tests::gate_allows_does_not_bind_the_proof_s_key_to_a_caller_s_claimed_identity
M12-amm-fee-removed	euvm	crates/bloch-euvm/src/batcher.rs	yes	2	batcher::tests::fee_bps_exactly_10000_full_fee_always_zero_fill,batcher::tests::fee_bps_over_10000_clamped_not_panicking
M16-kirpich-never-denies	euvm	crates/bloch-euvm/src/kirpich.rs	yes	4	audit_is_deterministic_across_runs,deny_charter_is_rejected_fail_closed,kirpich::tests::empty_charter_is_denied_no_panic,kirpich::tests::every_lane_is_wired_and_reachable
